
model name : AMD FX(tm)-8350 Eight-Core Processor
user, host, threads, particles, grainsize, seconds
nu11, <unknown>, 1, 100000000, 100000000, 6.08371
nu11, <unknown>, 1, 100000000, 90000000, 6.08231
nu11, <unknown>, 1, 100000000, 80000000, 6.09693
nu11, <unknown>, 1, 100000000, 70000000, 6.10143
nu11, <unknown>, 1, 100000000, 60000000, 6.13386
nu11, <unknown>, 1, 100000000, 50000000, 6.13959
nu11, <unknown>, 1, 100000000, 40000000, 6.13916
nu11, <unknown>, 1, 100000000, 30000000, 6.15837
nu11, <unknown>, 1, 100000000, 20000000, 6.18668
nu11, <unknown>, 1, 100000000, 10000000, 6.24367
nu11, <unknown>, 1, 100000000, 9000000, 6.25743
nu11, <unknown>, 1, 100000000, 8000000, 6.26811
nu11, <unknown>, 1, 100000000, 7000000, 6.27842
nu11, <unknown>, 1, 100000000, 6000000, 6.28475
nu11, <unknown>, 1, 100000000, 5000000, 6.29785
nu11, <unknown>, 1, 100000000, 4000000, 6.31751
nu11, <unknown>, 1, 100000000, 3000000, 6.32127
nu11, <unknown>, 1, 100000000, 2000000, 6.35272
nu11, <unknown>, 1, 100000000, 1000000, 6.3775
nu11, <unknown>, 1, 100000000, 900000, 6.38658
nu11, <unknown>, 1, 100000000, 800000, 6.39222
nu11, <unknown>, 1, 100000000, 700000, 6.39825
nu11, <unknown>, 1, 100000000, 600000, 6.41088
nu11, <unknown>, 1, 100000000, 500000, 6.42396
nu11, <unknown>, 1, 100000000, 400000, 6.43984
nu11, <unknown>, 1, 100000000, 300000, 6.45949
nu11, <unknown>, 1, 100000000, 200000, 6.48041
nu11, <unknown>, 1, 100000000, 100000, 6.528
nu11, <unknown>, 1, 100000000, 90000, 6.53466
nu11, <unknown>, 1, 100000000, 80000, 6.5481
nu11, <unknown>, 1, 100000000, 70000, 6.55178
nu11, <unknown>, 1, 100000000, 60000, 6.55415
nu11, <unknown>, 1, 100000000, 50000, 6.57549
nu11, <unknown>, 1, 100000000, 40000, 6.58723
nu11, <unknown>, 1, 100000000, 30000, 6.60244
nu11, <unknown>, 1, 100000000, 20000, 6.61896
nu11, <unknown>, 1, 100000000, 10000, 6.66192
nu11, <unknown>, 1, 100000000, 9000, 6.66827
nu11, <unknown>, 1, 100000000, 8000, 6.67805
nu11, <unknown>, 1, 100000000, 7000, 6.68006
nu11, <unknown>, 1, 100000000, 6000, 6.69362
nu11, <unknown>, 1, 100000000, 5000, 6.70646
nu11, <unknown>, 1, 100000000, 4000, 6.71928
nu11, <unknown>, 1, 100000000, 3000, 6.73021
nu11, <unknown>, 1, 100000000, 2000, 6.77382
nu11, <unknown>, 1, 100000000, 1000, 6.80674
nu11, <unknown>, 1, 100000000, 900, 6.81371
nu11, <unknown>, 1, 100000000, 800, 6.81956
nu11, <unknown>, 1, 100000000, 700, 6.84604
nu11, <unknown>, 1, 100000000, 600, 6.85523
nu11, <unknown>, 1, 100000000, 500, 6.87203
nu11, <unknown>, 1, 100000000, 400, 6.88886
nu11, <unknown>, 1, 100000000, 300, 6.9199
nu11, <unknown>, 1, 100000000, 200, 6.97794
nu11, <unknown>, 1, 100000000, 100, 7.12084
nu11, <unknown>, 1, 100000000, 90, 7.15041
nu11, <unknown>, 1, 100000000, 80, 7.17527
nu11, <unknown>, 1, 100000000, 70, 7.21246
nu11, <unknown>, 1, 100000000, 60, 7.27048
nu11, <unknown>, 1, 100000000, 50, 7.35341
nu11, <unknown>, 1, 100000000, 40, 7.4529
nu11, <unknown>, 1, 100000000, 30, 7.61664
nu11, <unknown>, 1, 100000000, 20, 7.9212
nu11, <unknown>, 1, 100000000, 10, 8.88321
nu11, <unknown>, 1, 100000000, 9, 9.0891
nu11, <unknown>, 1, 100000000, 8, 9.35238

model name : AMD FX(tm)-8350 Eight-Core Processor
user, host, threads, particles, grainsize, seconds
nu11, <unknown>, 4, 100000000, 100000000, 4.93591
nu11, <unknown>, 4, 100000000, 90000000, 4.89514
nu11, <unknown>, 4, 100000000, 80000000, 4.55977
nu11, <unknown>, 4, 100000000, 70000000, 4.44918
nu11, <unknown>, 4, 100000000, 60000000, 3.60995
nu11, <unknown>, 4, 100000000, 50000000, 3.06676
nu11, <unknown>, 4, 100000000, 40000000, 2.96554
nu11, <unknown>, 4, 100000000, 30000000, 2.67555
nu11, <unknown>, 4, 100000000, 20000000, 2.64136
nu11, <unknown>, 4, 100000000, 10000000, 2.53344
nu11, <unknown>, 4, 100000000, 9000000, 2.55346
nu11, <unknown>, 4, 100000000, 8000000, 2.49359
nu11, <unknown>, 4, 100000000, 7000000, 2.51232
nu11, <unknown>, 4, 100000000, 6000000, 2.40407
nu11, <unknown>, 4, 100000000, 5000000, 2.3786
nu11, <unknown>, 4, 100000000, 4000000, 2.37441
nu11, <unknown>, 4, 100000000, 3000000, 2.37105
nu11, <unknown>, 4, 100000000, 2000000, 2.30532
