,,,,,,
model name : AMD FX(tm)-8350 Eight-Core Processor,,,,,,
user, host, threads, particles, grainsize,sort seconds,compute seconds
nu11, <unknown>,1,10000000,1000,0.959307,7.7388
nu11, <unknown>,1,10000000,900,0.959126,7.74095
nu11, <unknown>,1,10000000,800,0.958136,7.73371
nu11, <unknown>,1,10000000,700,0.959216,7.73302
nu11, <unknown>,1,10000000,600,0.958864,7.74454
nu11, <unknown>,1,10000000,500,0.958759,7.74644
nu11, <unknown>,1,10000000,400,0.95825,7.75769
nu11, <unknown>,1,10000000,300,0.958418,7.75696
nu11, <unknown>,1,10000000,200,0.958731,7.75921
nu11, <unknown>,1,10000000,100,0.958667,7.77799
nu11, <unknown>,1,10000000,90,0.958087,7.76814
nu11, <unknown>,1,10000000,80,0.958434,7.77703
nu11, <unknown>,1,10000000,70,0.95836,7.80069
nu11, <unknown>,1,10000000,60,0.957096,7.81283
nu11, <unknown>,1,10000000,50,0.958661,7.80554
nu11, <unknown>,1,10000000,40,0.958112,7.80606
nu11, <unknown>,1,10000000,30,0.958792,7.82992
nu11, <unknown>,1,10000000,20,0.958232,7.83423
nu11, <unknown>,1,10000000,10,0.957468,7.96803
nu11, <unknown>,1,10000000,9,0.958188,8.04018
nu11, <unknown>,1,10000000,8,0.95816,8.06441
nu11, <unknown>,1,10000000,7,0.9572,8.04501
nu11, <unknown>,1,10000000,6,0.956776,8.03147
nu11, <unknown>,1,10000000,5,0.957784,8.28145
nu11, <unknown>,1,10000000,4,0.958104,8.37384
,,,,,,
model name : AMD FX(tm)-8350 Eight-Core Processor,,,,,,
user, host, threads, particles, grainsize,sort seconds,compute seconds
nu11, <unknown>,4,10000000,1000,0.394818,2.02695
nu11, <unknown>,4,10000000,900,0.393868,2.02776
nu11, <unknown>,4,10000000,800,0.394417,2.02622
nu11, <unknown>,4,10000000,700,0.395294,2.02733
nu11, <unknown>,4,10000000,600,0.392532,2.03541
nu11, <unknown>,4,10000000,500,0.39125,2.035
nu11, <unknown>,4,10000000,400,0.3925,2.0345
nu11, <unknown>,4,10000000,300,0.39305,2.05412
nu11, <unknown>,4,10000000,200,0.391158,2.05361
nu11, <unknown>,4,10000000,100,0.394527,2.09621
nu11, <unknown>,4,10000000,90,0.391215,2.09641
nu11, <unknown>,4,10000000,80,0.39359,2.09649
,,,,,,
model name : AMD FX(tm)-8350 Eight-Core Processor,,,,,,
user, host, threads, particles, grainsize,sort seconds,compute seconds
nu11, <unknown>,4,10000000,1000,0.394867,2.01642
nu11, <unknown>,4,10000000,900,0.394716,2.0162
nu11, <unknown>,4,10000000,800,0.392363,2.01607
nu11, <unknown>,4,10000000,700,0.398886,2.01792
nu11, <unknown>,4,10000000,600,0.394651,2.01983
nu11, <unknown>,4,10000000,500,0.393582,2.0206
nu11, <unknown>,4,10000000,400,0.393761,2.02043
nu11, <unknown>,4,10000000,300,0.398041,2.02394
nu11, <unknown>,4,10000000,200,0.396704,2.02384
nu11, <unknown>,4,10000000,100,0.39441,2.03005
nu11, <unknown>,4,10000000,90,0.394907,2.02944
nu11, <unknown>,4,10000000,80,0.395721,2.02801
nu11, <unknown>,4,10000000,70,0.397574,2.04129
nu11, <unknown>,4,10000000,60,0.396956,2.03974
nu11, <unknown>,4,10000000,50,0.397987,2.04004
nu11, <unknown>,4,10000000,40,0.397457,2.04128
nu11, <unknown>,4,10000000,30,0.403614,2.05345
nu11, <unknown>,4,10000000,20,0.403786,2.05482
nu11, <unknown>,4,10000000,10,0.403574,2.12205
nu11, <unknown>,4,10000000,9,0.406549,2.15618
nu11, <unknown>,4,10000000,8,0.403988,2.15772
nu11, <unknown>,4,10000000,7,0.405525,2.16083
nu11, <unknown>,4,10000000,6,0.405959,2.1559
nu11, <unknown>,4,10000000,5,0.403128,2.27992
nu11, <unknown>,4,10000000,4,0.406305,2.32162
