
model name : AMD FX(tm)-8350 Eight-Core Processor
user, host, threads, particles, grainsize, seconds
nu11, <unknown>, 1, 100000000, 1000, 0.15291
nu11, <unknown>, 1, 100000000, 900, 0.143071
nu11, <unknown>, 1, 100000000, 800, 0.143833
nu11, <unknown>, 1, 100000000, 700, 0.165217
nu11, <unknown>, 1, 100000000, 600, 0.165072
nu11, <unknown>, 1, 100000000, 500, 0.166506
nu11, <unknown>, 1, 100000000, 400, 0.165922
nu11, <unknown>, 1, 100000000, 300, 0.209096
nu11, <unknown>, 1, 100000000, 200, 0.209958
nu11, <unknown>, 1, 100000000, 100, 0.295196
nu11, <unknown>, 1, 100000000, 90, 0.488385
nu11, <unknown>, 1, 100000000, 80, 0.487513
nu11, <unknown>, 1, 100000000, 70, 0.490191
nu11, <unknown>, 1, 100000000, 60, 0.486998
nu11, <unknown>, 1, 100000000, 50, 0.487714
nu11, <unknown>, 1, 100000000, 40, 0.779256
nu11, <unknown>, 1, 100000000, 30, 0.779281
nu11, <unknown>, 1, 100000000, 20, 1.06575
nu11, <unknown>, 1, 100000000, 10, 1.91609
nu11, <unknown>, 1, 100000000, 9, 1.91716
nu11, <unknown>, 1, 100000000, 8, 1.97935
nu11, <unknown>, 1, 100000000, 7, 1.91901
nu11, <unknown>, 1, 100000000, 6, 3.74544
nu11, <unknown>, 1, 100000000, 5, 3.81957
nu11, <unknown>, 1, 100000000, 4, 3.82204
nu11, <unknown>, 1, 100000000, 3, 7.06864
nu11, <unknown>, 1, 100000000, 2, 10.5436

model name : AMD FX(tm)-8350 Eight-Core Processor
user, host, threads, particles, grainsize, seconds
nu11, <unknown>, 4, 100000000, 1000, 0.294014
nu11, <unknown>, 4, 100000000, 900, 0.301864
nu11, <unknown>, 4, 100000000, 800, 0.297096
nu11, <unknown>, 4, 100000000, 700, 0.646849
nu11, <unknown>, 4, 100000000, 600, 0.654821
nu11, <unknown>, 4, 100000000, 500, 0.647112
nu11, <unknown>, 4, 100000000, 400, 0.64658

model name : AMD FX(tm)-8350 Eight-Core Processor
user, host, threads, particles, grainsize, seconds
nu11, <unknown>, 4, 100000000, 1000, 0.057627
nu11, <unknown>, 4, 100000000, 900, 0.0581533
nu11, <unknown>, 4, 100000000, 800, 0.0579528
nu11, <unknown>, 4, 100000000, 700, 0.0706092
nu11, <unknown>, 4, 100000000, 600, 0.0711344
nu11, <unknown>, 4, 100000000, 500, 0.0707224
nu11, <unknown>, 4, 100000000, 400, 0.0704524
nu11, <unknown>, 4, 100000000, 300, 0.112363
nu11, <unknown>, 4, 100000000, 200, 0.110603
nu11, <unknown>, 4, 100000000, 100, 0.223556
nu11, <unknown>, 4, 100000000, 90, 0.443543
nu11, <unknown>, 4, 100000000, 80, 0.440501
nu11, <unknown>, 4, 100000000, 70, 0.440322
nu11, <unknown>, 4, 100000000, 60, 0.441961
nu11, <unknown>, 4, 100000000, 50, 0.438147
nu11, <unknown>, 4, 100000000, 40, 0.873925
nu11, <unknown>, 4, 100000000, 30, 0.868432
nu11, <unknown>, 4, 100000000, 20, 1.71057
nu11, <unknown>, 4, 100000000, 10, 3.43325
nu11, <unknown>, 4, 100000000, 9, 3.396
nu11, <unknown>, 4, 100000000, 8, 3.42216
nu11, <unknown>, 4, 100000000, 7, 3.41104
nu11, <unknown>, 4, 100000000, 6, 6.62889
nu11, <unknown>, 4, 100000000, 5, 6.78945
nu11, <unknown>, 4, 100000000, 4, 6.86687
nu11, <unknown>, 4, 100000000, 3, 13.4495
