
model name : AMD Opteron(tm) Processor 6172
user, host, threads, particles, grainsize, seconds

model name : AMD Opteron(tm) Processor 6172
user, host, threads, particles, grainsize, seconds

model name : AMD Opteron(tm) Processor 6172
user, host, threads, particles, grainsize, seconds
jkcampbe, <unknown>, 1, 10000000, 1000, 1.67431, 15.9248
jkcampbe, <unknown>, 1, 10000000, 900, 1.66982, 15.5578
jkcampbe, <unknown>, 1, 10000000, 800, 1.6729, 15.6078
jkcampbe, <unknown>, 1, 10000000, 700, 1.67396, 16.0174
jkcampbe, <unknown>, 1, 10000000, 600, 1.66814, 15.5115
jkcampbe, <unknown>, 1, 10000000, 500, 1.63935, 15.5255
jkcampbe, <unknown>, 1, 10000000, 400, 1.60237, 15.5428
jkcampbe, <unknown>, 1, 10000000, 300, 1.59131, 15.8218
jkcampbe, <unknown>, 1, 10000000, 200, 1.58149, 15.5292
jkcampbe, <unknown>, 1, 10000000, 100, 1.63042, 15.6182
jkcampbe, <unknown>, 1, 10000000, 90, 1.67225, 16.1877
jkcampbe, <unknown>, 1, 10000000, 80, 1.67123, 15.8727
jkcampbe, <unknown>, 1, 10000000, 70, 1.67362, 16.021
jkcampbe, <unknown>, 1, 10000000, 60, 1.67076, 15.8614
jkcampbe, <unknown>, 1, 10000000, 50, 1.67328, 15.7553
jkcampbe, <unknown>, 1, 10000000, 40, 1.66937, 16.0634
jkcampbe, <unknown>, 1, 10000000, 30, 1.63427, 16.0933
jkcampbe, <unknown>, 1, 10000000, 20, 1.59363, 15.8089
jkcampbe, <unknown>, 1, 10000000, 10, 1.61989, 15.9331
jkcampbe, <unknown>, 1, 10000000, 9, 1.67492, 16.1803
jkcampbe, <unknown>, 1, 10000000, 8, 1.66953, 16.0705
jkcampbe, <unknown>, 1, 10000000, 7, 1.67255, 16.1424
jkcampbe, <unknown>, 1, 10000000, 6, 1.63232, 16.1973
jkcampbe, <unknown>, 1, 10000000, 5, 1.61066, 16.2502
jkcampbe, <unknown>, 1, 10000000, 4, 1.63172, 16.473
jkcampbe, <unknown>, 1, 10000000, 3, 1.87852, 14.0241
jkcampbe, <unknown>, 1, 10000000, 2, 1.87934, 1.35925
jkcampbe, <unknown>, 1, 10000000, 1, 1.87865, 1.35863
