
model name : AMD Opteron(tm) Processor 6172
user, host, threads, particles, grainsize, seconds
jkcampbe, <unknown>, 4, 10000000, 1000, 0.714272, 3.85019
jkcampbe, <unknown>, 4, 10000000, 900, 0.738979, 3.85235
jkcampbe, <unknown>, 4, 10000000, 800, 0.73241, 3.86461
jkcampbe, <unknown>, 4, 10000000, 700, 0.732396, 3.85279
jkcampbe, <unknown>, 4, 10000000, 600, 0.737729, 3.85709
jkcampbe, <unknown>, 4, 10000000, 500, 0.736814, 3.85657
jkcampbe, <unknown>, 4, 10000000, 400, 0.73121, 3.85731
jkcampbe, <unknown>, 4, 10000000, 300, 0.736287, 3.86606
jkcampbe, <unknown>, 4, 10000000, 200, 0.730456, 3.86589
jkcampbe, <unknown>, 4, 10000000, 100, 0.736909, 3.88218
jkcampbe, <unknown>, 4, 10000000, 90, 0.735922, 3.8834
jkcampbe, <unknown>, 4, 10000000, 80, 0.734168, 3.88272
jkcampbe, <unknown>, 4, 10000000, 70, 0.738155, 3.91162
jkcampbe, <unknown>, 4, 10000000, 60, 0.72426, 3.91634
jkcampbe, <unknown>, 4, 10000000, 50, 0.73657, 3.91215
jkcampbe, <unknown>, 4, 10000000, 40, 0.73651, 3.91081
jkcampbe, <unknown>, 4, 10000000, 30, 0.734794, 3.9556
jkcampbe, <unknown>, 4, 10000000, 20, 0.743125, 3.96106
jkcampbe, <unknown>, 4, 10000000, 10, 0.732437, 4.04226
jkcampbe, <unknown>, 4, 10000000, 9, 0.738006, 4.08958
jkcampbe, <unknown>, 4, 10000000, 8, 0.736453, 4.09348
jkcampbe, <unknown>, 4, 10000000, 7, 0.736578, 4.0934
jkcampbe, <unknown>, 4, 10000000, 6, 0.738619, 4.0886
jkcampbe, <unknown>, 4, 10000000, 5, 0.731108, 4.23916
jkcampbe, <unknown>, 4, 10000000, 4, 0.733509, 4.32054
jkcampbe, <unknown>, 4, 10000000, 3, 0.771692, 3.83123
jkcampbe, <unknown>, 4, 10000000, 2, 0.766816, 1.8905
jkcampbe, <unknown>, 4, 10000000, 1, 0.772724, 1.89212
