
model name : AMD Opteron(tm) Processor 6172
user, host, threads, particles, grainsize, seconds
jkcampbe, <unknown>, 2, 10000000, 1000, 0.0165944
jkcampbe, <unknown>, 2, 10000000, 900, 0.0164576
jkcampbe, <unknown>, 2, 10000000, 800, 0.0164363
jkcampbe, <unknown>, 2, 10000000, 700, 0.0169853
jkcampbe, <unknown>, 2, 10000000, 600, 0.0204418
jkcampbe, <unknown>, 2, 10000000, 500, 0.0205025
jkcampbe, <unknown>, 2, 10000000, 400, 0.0204662
jkcampbe, <unknown>, 2, 10000000, 300, 0.0300466
jkcampbe, <unknown>, 2, 10000000, 200, 0.0297133
jkcampbe, <unknown>, 2, 10000000, 100, 0.0524477
jkcampbe, <unknown>, 2, 10000000, 90, 0.0519888
jkcampbe, <unknown>, 2, 10000000, 80, 0.0520872
jkcampbe, <unknown>, 2, 10000000, 70, 0.0989055
jkcampbe, <unknown>, 2, 10000000, 60, 0.098865
jkcampbe, <unknown>, 2, 10000000, 50, 0.0997834
jkcampbe, <unknown>, 2, 10000000, 40, 0.0987981
jkcampbe, <unknown>, 2, 10000000, 30, 0.198965
jkcampbe, <unknown>, 2, 10000000, 20, 0.203782
jkcampbe, <unknown>, 2, 10000000, 10, 0.546038
jkcampbe, <unknown>, 2, 10000000, 9, 0.694153
jkcampbe, <unknown>, 2, 10000000, 8, 0.714281
jkcampbe, <unknown>, 2, 10000000, 7, 0.700705
jkcampbe, <unknown>, 2, 10000000, 6, 0.711133
jkcampbe, <unknown>, 2, 10000000, 5, 1.23254
jkcampbe, <unknown>, 2, 10000000, 4, 1.42737
