
model name : AMD Opteron(tm) Processor 6172
user, host, threads, particles, grainsize, seconds
jkcampbe, <unknown>, 1, 40000000, 40000000, 3.91273
jkcampbe, <unknown>, 1, 40000000, 36000000, 3.90485

model name : AMD Opteron(tm) Processor 6172
user, host, threads, particles, grainsize, seconds
jkcampbe, <unknown>, 1, 40000000, 10000000, 3.97849
jkcampbe, <unknown>, 1, 40000000, 9000000, 3.97203
jkcampbe, <unknown>, 1, 40000000, 8000000, 3.98991
jkcampbe, <unknown>, 1, 40000000, 7000000, 3.98917
jkcampbe, <unknown>, 1, 40000000, 6000000, 4.00542
jkcampbe, <unknown>, 1, 40000000, 5000000, 4.00608
jkcampbe, <unknown>, 1, 40000000, 4000000, 4.02049
jkcampbe, <unknown>, 1, 40000000, 3000000, 4.03442
jkcampbe, <unknown>, 1, 40000000, 2000000, 4.06979
jkcampbe, <unknown>, 1, 40000000, 1000000, 4.09312
jkcampbe, <unknown>, 1, 40000000, 900000, 4.08094
jkcampbe, <unknown>, 1, 40000000, 800000, 4.10725
jkcampbe, <unknown>, 1, 40000000, 700000, 4.09956
jkcampbe, <unknown>, 1, 40000000, 600000, 4.11716
jkcampbe, <unknown>, 1, 40000000, 500000, 4.12288
jkcampbe, <unknown>, 1, 40000000, 400000, 4.13348
jkcampbe, <unknown>, 1, 40000000, 300000, 4.15424
jkcampbe, <unknown>, 1, 40000000, 200000, 4.18343
jkcampbe, <unknown>, 1, 40000000, 100000, 4.21004
jkcampbe, <unknown>, 1, 40000000, 90000, 4.20147
jkcampbe, <unknown>, 1, 40000000, 80000, 4.21972
jkcampbe, <unknown>, 1, 40000000, 70000, 4.21657
jkcampbe, <unknown>, 1, 40000000, 60000, 4.23898
jkcampbe, <unknown>, 1, 40000000, 50000, 4.24464
jkcampbe, <unknown>, 1, 40000000, 40000, 4.26108
jkcampbe, <unknown>, 1, 40000000, 30000, 4.26649
jkcampbe, <unknown>, 1, 40000000, 20000, 4.27608
jkcampbe, <unknown>, 1, 40000000, 10000, 4.31424
jkcampbe, <unknown>, 1, 40000000, 9000, 4.31731
jkcampbe, <unknown>, 1, 40000000, 8000, 4.32627
jkcampbe, <unknown>, 1, 40000000, 7000, 4.31975
jkcampbe, <unknown>, 1, 40000000, 6000, 4.33649
jkcampbe, <unknown>, 1, 40000000, 5000, 4.32128
jkcampbe, <unknown>, 1, 40000000, 4000, 4.35414
jkcampbe, <unknown>, 1, 40000000, 3000, 4.343
jkcampbe, <unknown>, 1, 40000000, 2000, 4.39071
jkcampbe, <unknown>, 1, 40000000, 1000, 4.40471
jkcampbe, <unknown>, 1, 40000000, 900, 4.44008
jkcampbe, <unknown>, 1, 40000000, 800, 4.44225
jkcampbe, <unknown>, 1, 40000000, 700, 4.42672
jkcampbe, <unknown>, 1, 40000000, 600, 4.46132
jkcampbe, <unknown>, 1, 40000000, 500, 4.45126
jkcampbe, <unknown>, 1, 40000000, 400, 4.49025
jkcampbe, <unknown>, 1, 40000000, 300, 4.51982
jkcampbe, <unknown>, 1, 40000000, 200, 4.54661
jkcampbe, <unknown>, 1, 40000000, 100, 4.6377
jkcampbe, <unknown>, 1, 40000000, 90, 4.65054
jkcampbe, <unknown>, 1, 40000000, 80, 4.67205
jkcampbe, <unknown>, 1, 40000000, 70, 4.70403
jkcampbe, <unknown>, 1, 40000000, 60, 4.72448
jkcampbe, <unknown>, 1, 40000000, 50, 4.74254
jkcampbe, <unknown>, 1, 40000000, 40, 4.83801
jkcampbe, <unknown>, 1, 40000000, 30, 4.90758
jkcampbe, <unknown>, 1, 40000000, 20, 5.10668
jkcampbe, <unknown>, 1, 40000000, 10, 5.64456
jkcampbe, <unknown>, 1, 40000000, 9, 5.73555
jkcampbe, <unknown>, 1, 40000000, 8, 5.88541
jkcampbe, <unknown>, 1, 40000000, 7, 6.05932
jkcampbe, <unknown>, 1, 40000000, 6, 6.35349
jkcampbe, <unknown>, 1, 40000000, 5, 6.73553
jkcampbe, <unknown>, 1, 40000000, 4, 7.28249
jkcampbe, <unknown>, 1, 40000000, 3, 8.26957
jkcampbe, <unknown>, 1, 40000000, 2, 10.362

model name : AMD Opteron(tm) Processor 6172
user, host, threads, particles, grainsize, seconds
jkcampbe, <unknown>, 1, 40000000, 1000, 4.50221
jkcampbe, <unknown>, 1, 40000000, 900, 4.46285
jkcampbe, <unknown>, 1, 40000000, 800, 4.48401
jkcampbe, <unknown>, 1, 40000000, 700, 4.54149
jkcampbe, <unknown>, 1, 40000000, 600, 4.53213
jkcampbe, <unknown>, 1, 40000000, 500, 4.56427
jkcampbe, <unknown>, 1, 40000000, 400, 4.49208
jkcampbe, <unknown>, 1, 40000000, 300, 4.52168
jkcampbe, <unknown>, 1, 40000000, 200, 4.6322
jkcampbe, <unknown>, 1, 40000000, 100, 4.70173
jkcampbe, <unknown>, 1, 40000000, 90, 4.72201
jkcampbe, <unknown>, 1, 40000000, 80, 4.73856
jkcampbe, <unknown>, 1, 40000000, 70, 4.69737
jkcampbe, <unknown>, 1, 40000000, 60, 4.78941
jkcampbe, <unknown>, 1, 40000000, 50, 4.83443
jkcampbe, <unknown>, 1, 40000000, 40, 4.90808
jkcampbe, <unknown>, 1, 40000000, 30, 4.95258
jkcampbe, <unknown>, 1, 40000000, 20, 5.18621
jkcampbe, <unknown>, 1, 40000000, 10, 5.72355
jkcampbe, <unknown>, 1, 40000000, 9, 5.83417
jkcampbe, <unknown>, 1, 40000000, 8, 5.95937
jkcampbe, <unknown>, 1, 40000000, 7, 6.06708
jkcampbe, <unknown>, 1, 40000000, 6, 6.45181
jkcampbe, <unknown>, 1, 40000000, 5, 6.84087
jkcampbe, <unknown>, 1, 40000000, 4, 7.27523
jkcampbe, <unknown>, 1, 40000000, 3, 8.35271
jkcampbe, <unknown>, 1, 40000000, 2, 10.4343
