
model name : AMD Opteron(tm) Processor 6172
user, host, threads, particles, grainsize, seconds
jkcampbe, <unknown>, 2, 10000000, 1000, 0.0196703
jkcampbe, <unknown>, 2, 10000000, 900, 0.0197029
jkcampbe, <unknown>, 2, 10000000, 800, 0.0197626
jkcampbe, <unknown>, 2, 10000000, 700, 0.0196822
jkcampbe, <unknown>, 2, 10000000, 600, 0.0238692
jkcampbe, <unknown>, 2, 10000000, 500, 0.0237083
jkcampbe, <unknown>, 2, 10000000, 400, 0.0237912
jkcampbe, <unknown>, 2, 10000000, 300, 0.0329723
jkcampbe, <unknown>, 2, 10000000, 200, 0.0333398
jkcampbe, <unknown>, 2, 10000000, 100, 0.0545091
jkcampbe, <unknown>, 2, 10000000, 90, 0.0546276
jkcampbe, <unknown>, 2, 10000000, 80, 0.0555525
jkcampbe, <unknown>, 2, 10000000, 70, 0.104411
jkcampbe, <unknown>, 2, 10000000, 60, 0.101472
jkcampbe, <unknown>, 2, 10000000, 50, 0.104525
jkcampbe, <unknown>, 2, 10000000, 40, 0.103806
jkcampbe, <unknown>, 2, 10000000, 30, 0.201145
jkcampbe, <unknown>, 2, 10000000, 20, 0.211564
jkcampbe, <unknown>, 2, 10000000, 10, 0.591263
jkcampbe, <unknown>, 2, 10000000, 9, 0.735826
jkcampbe, <unknown>, 2, 10000000, 8, 0.744959
jkcampbe, <unknown>, 2, 10000000, 7, 0.734608
jkcampbe, <unknown>, 2, 10000000, 6, 0.736381
jkcampbe, <unknown>, 2, 10000000, 5, 1.2936
jkcampbe, <unknown>, 2, 10000000, 4, 1.46219
jkcampbe, <unknown>, 2, 10000000, 3, 2.03293
jkcampbe, <unknown>, 2, 10000000, 2, 3.4535
